212,Al Horford\horfoal01,C,34,OKC,27,27,28.0,5.8,12.9,.447,2.0,5.4,.374,3.7,7.5,.500,.526,0.7,0.8,.818,1.0,5.7,6.7,3.3,0.9,0.9,1.1,1.8,14.3
213,Talen Horton-Tucker\hortota01,SG,20,LAL,37,1,18.0,3.1,6.7,.460,0.5,1.9,.261,2.6,4.8,.536,.496,1.2,1.4,.846,0.3,2.2,2.5,2.2,0.8,0.5,1.3,2.1,7.8
214,Danuel House\houseda01,SF,27,HOU,24,14,27.5,3.2,8.4,.381,1.6,4.8,.330,1.6,3.6,.448,.475,1.2,1.8,.690,0.7,3.3,3.9,1.9,0.6,0.5,0.9,2.0,9.2
215,Dwight Howard\howardw01,C,35,PHI,41,4,16.9,2.6,4.4,.587,0.1,0.3,.286,2.5,4.0,.612,.598,1.5,2.8,.540,2.5,5.3,7.8,0.7,0.4,1.0,1.7,3.0,6.7
216,Markus Howard\howarma02,SG,21,DEN,20,0,3.3,0.4,1.8,.222,0.3,1.3,.192,0.2,0.5,.300,.292,0.1,0.1,.500,0.0,0.4,0.4,0.4,0.1,0.0,0.3,0.5,1.1
217,Kevin Huerter\huertke01,SG,22,ATL,41,30,31.7,4.6,10.7,.427,2.2,5.9,.368,2.4,4.8,.500,.528,0.9,1.0,.833,0.7,3.0,3.7,3.6,1.3,0.3,1.2,2.4,12.2
218,Elijah Hughes\hugheel01,SF,22,UTA,7,0,4.0,0.7,2.1,.333,0.4,1.4,.300,0.3,0.7,.400,.433,0.4,0.6,.750,0.0,0.6,0.6,0.4,0.1,0.1,0.6,0.0,2.3
219,De'Andre Hunter\huntede01,SF,23,ATL,18,18,32.2,6.0,11.7,.514,1.7,4.6,.366,4.3,7.1,.609,.586,3.6,4.1,.877,0.9,4.5,5.4,2.2,0.9,0.5,1.4,2.6,17.2
220,Chandler Hutchison\hutchch01,SF,24,CHI,7,0,9.1,0.7,2.6,.278,0.1,0.4,.333,0.6,2.1,.267,.306,0.3,0.3,1.000,0.1,2.7,2.9,0.6,0.1,0.0,0.7,1.3,1.9
221,Serge Ibaka\ibakase01,C,31,LAC,39,39,23.6,4.5,8.9,.507,1.0,2.8,.352,3.5,6.1,.577,.562,0.9,1.2,.822,1.7,4.9,6.7,1.7,0.2,1.2,1.1,1.9,10.9
222,Andre Iguodala\iguodan01,SF,37,MIA,38,2,21.5,1.6,4.2,.386,1.1,3.2,.344,0.5,0.9,.528,.519,0.4,0.7,.593,0.6,3.1,3.7,2.1,1.0,0.4,1.0,1.4,4.7
223,Joe Ingles\inglejo01,SF,33,UTA,37,10,26.8,4.2,7.8,.540,2.7,5.5,.490,1.5,2.3,.659,.713,1.1,1.2,.889,0.4,3.1,3.5,4.3,0.5,0.2,1.5,1.8,12.2
224,Brandon Ingram\ingrabr01,SF,23,NOP,41,41,34.3,8.4,17.8,.473,2.4,6.3,.377,6.0,11.5,.527,.540,4.5,5.1,.876,0.6,4.5,5.1,4.7,0.6,0.7,2.4,2.0,23.8
225,Kyrie Irving\irvinky01,PG,28,BRK,30,30,35.7,10.8,20.6,.525,2.9,7.1,.413,7.9,13.5,.584,.596,3.6,4.0,.884,1.1,3.6,4.8,5.7,1.1,0.6,2.4,2.7,28.1
226,Wesley Iwundu\iwundwe01,SF,26,DAL,22,3,12.5,0.7,2.2,.327,0.1,1.0,.130,0.6,1.2,.500,.357,0.5,0.6,.846,0.3,1.5,1.8,0.5,0.4,0.1,0.3,1.1,2.1
227,Frank Jackson\jacksfr01,PG,22,DET,12,2,10.8,1.7,3.8,.435,0.9,2.1,.440,0.8,1.8,.429,.554,0.4,0.5,.833,0.2,0.9,1.1,0.9,0.3,0.0,0.7,0.8,4.7
228,Josh Jackson\jacksjo02,SG,23,DET,37,6,24.8,4.8,11.2,.431,1.2,4.2,.282,3.6,7.0,.521,.484,2.5,3.6,.712,1.0,3.3,4.3,2.1,0.9,0.9,2.2,2.9,13.4
229,Justin Jackson\jacksju01,SF,25,OKC,28,3,16.6,2.5,6.1,.404,0.9,3.2,.292,1.5,2.9,.524,.480,0.8,0.9,.808,0.4,1.9,2.3,1.5,0.4,0.1,1.0,1.0,6.6
